auta;spnd;numa
Knebel, Karl Ludwig von;44242;9/1 9/8 9/30 9/112 9/230 9/432 9/507 9/510 9/511 9/560 9/581 9/616 9/625 9/678 9/696 9/699 9/700 9/708 9/709 9/717 9/719 9/727 9/732 9/736 9/747 9/785 9/847 9/849 9/867 9/876 9/911 9/1032 9/1065 9/1092 9/1124 9/1129 9/1145 9/1162 9/1181 9/1203 9/1214 9/1229 9/1235 9/1270 9/1317 9/1322 9/1335 9/1393 9/1405 9/1424 9/1492 9/1574 9/1583 9/1585
Sachsen-Weimar-Eisenach, Karl August Großherzog von;40962;9/2 9/13 9/15 9/28 9/33 9/43 9/51 9/54 9/55 9/74 9/75 9/76 9/79 9/85 9/88 9/93 9/95 9/104 9/107 9/111 9/114 9/130 9/193 9/198 9/204 9/238 9/295 9/323 9/440 9/456 9/469 9/483 9/490 9/502 9/562 9/571 9/585 9/589 9/611 9/614 9/615 9/623 9/635 9/662 9/664 9/666 9/669 9/670 9/671 9/674 9/677 9/679 9/683 9/684 9/693 9/738 9/740 9/763 9/766 9/772 9/774 9/805 9/814 9/842 9/843 9/972 9/1016 9/1051 9/1052 9/1191 9/1193 9/1197 9/1206 9/1207 9/1211 9/1233 9/1511 9/1530 9/1541 9/1565 9/1584 9/1596
Nicht ermittelt;66965'66968'66969'66970'66971'66972'66973;9/3 9/402 9/403 9/838 9/1001 9/1458 9/1459
Nicht ermittelt (<zita>P.</zita>);66966;9/4
Noehden, Georg Heinrich;39997;9/5 9/134 9/342 9/891 9/900 9/929 9/1109 9/1300 9/1312 9/1425
Vulpius, Christian August;45631;9/6 9/121 9/151 9/159 9/219 9/220 9/227 9/236 9/246 9/249 9/331 9/348 9/350 9/503 9/533 9/540 9/992 9/1029 9/1033 9/1049 9/1050 9/1053 9/1063 9/1085 9/1094 9/1100 9/1105 9/1141 9/1295 9/1410
Blum, Karl Ludwig;35817;9/7
Kosegarten, Johann Gottfried Ludwig;38785;9/9 9/22 9/138 9/597 9/688 9/721 9/743 9/1148 9/1386 9/1413
Schiller, Luise Antoinette Charlotte von;45127;9/10 9/786
Schlosser, Johann Friedrich Heinrich;45154;9/11 9/56 9/69 9/108 9/131 9/239 9/278 9/373 9/605 9/626 9/650 9/758 9/759 9/810 9/923 9/1218 9/1253 9/1280 9/1319
Cotta, Johann Friedrich von;36466;9/12 9/250 9/431 9/541 9/909 9/953 9/1090 9/1128 9/1167 9/1264 9/1316 9/1525
Mosengeil, Friedrich;39789;9/14 9/773
Walter, Friedrich August;42462;9/16 9/702
Cattaneo, Gaetano;36305;9/17 9/675 9/787 9/1537
Färber, Johann Michael Christoph;43600;9/18 9/45 9/122 9/561 9/592 9/817 9/1121 9/1209 9/1239 9/1320 9/1411 9/1552 9/1563 9/1579 9/1597
Primisser, Alois;40452;9/19
Schiller, Ernst Friedrich Wilhelm von;45121;9/20
Boisserée, Johann Sulpiz Melchior Dominikus;43183;9/21 9/66 9/89 9/103 9/118 9/158 9/265 9/379 9/391 9/468 9/617 9/628 9/660 9/755 9/768 9/792 9/835 9/882 9/889 9/904 9/925 9/940 9/1042 9/1192 9/1254 9/1315 9/1369 9/1378 9/1387 9/1453 9/1454 9/1542 9/1547 9/1599
Weller, Christian Ernst Friedrich;45701;9/23 9/64 9/86 9/590 9/647 9/733 9/744 9/748 9/1123 9/1143 9/1194 9/1212 9/1219 9/1245 9/1308 9/1326 9/1329 9/1337 9/1400 9/1558
Werneburg, Johann Friedrich Christian;42613;9/24 9/91 9/116 9/124 9/254 9/527 9/637 9/1519
Bertuch, Friedrich Johann Justin;43118;9/25 9/29 9/40 9/48 9/65 9/71 9/96 9/695
Nees von Esenbeck, Christian Gottfried Daniel;44667;9/26 9/72 9/98 9/139 9/140 9/261 9/385 9/386 9/548 9/645 9/682 9/915 9/926 9/927 9/1140 9/1291 9/1414 9/1495 9/1522 9/1566
Schallern, Karl Wilhelm Ludwig von;41077;9/27
Eichstädt, Heinrich Karl Abraham;36868;9/31 9/142 9/382 9/757 9/840 9/1540 9/1572
