id|aufgabe02|aufgabe03
44242|Knebel, Karl Ludwig von|Knebel, #1+Karl#1- Ludwig (seit 1756:) von (1744-1834) 
40962|Sachsen-Weimar-Eisenach, Karl August Großherzog von|Sachsen-Weimar-Eisenach, Karl August Großherzog von (1757-1828) 
66965|Nicht ermittelt
66966|Nicht ermittelt (<zita>P.</zita>)
39997|Noehden, Georg Heinrich|Noehden, Georg Heinrich (1770-1826) 
45631|Vulpius, Christian August|Vulpius, Christian #1+August#1- (1762-1827) 
35817|Blum, Karl Ludwig|Karl Ludwig ^%^%Blum
38785|Kosegarten, Johann Gottfried Ludwig|Kosegarten, Johann (Hans) #1+Gottfried#1- Ludwig (1792-1860) 
45127|Schiller, Luise Antoinette Charlotte von|Schiller, Luise Antoinette #1+Charlotte#1- (seit 1802:) von, geb. von Lengefeld (1766-1826) 
45154|Schlosser, Johann Friedrich Heinrich|Schlosser, Johann #1+Friedrich#1- (Fritz) Heinrich (1780-1851) 
36466|Cotta, Johann Friedrich von|Cotta, Johann Friedrich, (seit 7. November 1817:) C. von Cottendorf (1764-1832) 
39789|Mosengeil, Friedrich|Mosengeil, Karl #1+Friedrich#1- August (1773-1839) 
42462|Walter, Friedrich August|Walter, Friedrich August (1764-1826) 
36305|Cattaneo, Gaetano|Cattaneo, Gaetano (1771-1841) 
43600|Färber, Johann Michael Christoph|Färber, Johann #1+Michael#1- Christoph (1778-1844) 
40452|Primisser, Alois
45121|Schiller, Ernst Friedrich Wilhelm von|Schiller, #1+Ernst#1- Friedrich Wilhelm (seit 1802:) von (1796-1841) 
43183|Boisserée, Johann Sulpiz Melchior Dominikus|Boisserée, Johann #1+Sulpiz#1- (Sulpice) Melchior Dominikus (1783-1854) 
45701|Weller, Christian Ernst Friedrich|Weller, Christian #1+Ernst#1- Friedrich (1789-1854) 
42613|Werneburg, Johann Friedrich Christian|Werneburg, Johann Friedrich Christian (1777-1851) 
43118|Bertuch, Friedrich Johann Justin|Bertuch, #1+Friedrich#1- Johann #1+Justin#1- (1747-1822) 
44667|Nees von Esenbeck, Christian Gottfried Daniel|Nees von Esenbeck, #1+Christian#1- #1+Gottfried#1- Daniel (1776-1858) 
41077|Schallern, Karl Wilhelm Ludwig von
36868|Eichstädt, Heinrich Karl Abraham|Eichstädt, Heinrich Karl Abraham (1772-1848) 
42874|Zelter, Karl Friedrich|Zelter, Karl Friedrich (1758-1832) 
44816|Pogwisch, Ulrike von|Pogwisch, #1+Ulrike#1- Henriette Adele Eleonore von (1798-1875) 
44302|Kräuter, Friedrich Theodor David|Kräuter, Friedrich #1+Theodor#1- David (1790-1856) 
40745|Ritter, Karl
38277|Hüttner, Johann Christian|Hüttner, Johann Christian (1766-1847) 
40474|Pyrker von Oberwart, Johann Ladislaus|Pyrker von Oberwart, #1+Johann#1- Baptist #1+Ladislaus#1- (János László P. von Felsö-Eör) (1772-1847) 
45093|Schaum, Jakob Karl|Schaum, Jakob #1+Karl#1- (1762-1841) 
42953|Abeken, Bernhard Rudolf|Abeken, Bernhard #1+Rudolf#1- (1780-1866) 
40609|Reinhard, Karl Friedrich Graf|Reinhard, Karl Friedrich (Charles Frédéric R.; vorher: Reinhardt) (1809: Baron, 1815:) Comte/Graf (1761-1837) 
36620|Dennstedt, August Wilhelm|August Wilhelm Dennstedt
43691|Frommann, Karl Friedrich Ernst|Frommann, Karl #1+Friedrich#1- Ernst (1765-1837) 
49388|Morgenstern, Johann Friedrich
42533|Weigel, Johann August Gottlob|Weigel, Johann #1+August#1- Gottlob (1773-1846) 
36694|Döbereiner, Johann Wolfgang|Döbereiner, Johann Wolfgang (1780-1849) 
43252|Brentano, Johanna Antonia Josepha|Brentano, Johanna #1+Antonia#1- (#1+Toni#1-) Josepha, geb. von Birkenstock (1780-1869) 
40829|Rosenthal, Friedrich Christian
41803|Stimmel, Johann Gottlob|Stimmel, Johann Gottlob (1766-1836) 
45767|Wötzel, Johann Karl
37407|Gerolt, Bernhard Franz Joseph von
45706|Werner, Friedrich Ludwig Zacharias|Werner, Friedrich Ludwig #1+Zacharias#1- (1768-1823) 
38656|Klinger, Friedrich Maximilian von|Klinger, Friedrich Maximilian (Fjodor Iwanowitsch) (seit 1780:) von (1752-1831) 
45222|Schreibers, Karl Franz Anton von|Schreibers, #1+Karl#1- Franz Anton (seit 1808/10:) von (1775-1852) 
43299|Büsching, Johann Gustav Gottlieb|Büsching, #1+Johann#1- #1+Gustav#1- Gottlieb (1783-1829) 
42845|Zahlhas, Johann Baptist von
40967|Sachsen-Weimar-Eisenach, Maria Paw­low­na Erbgroßherzogin von|Sachsen-Weimar-Eisenach, Maria Pawlowna Großherzogin von, geb. Großfürstin von Rußland (1786-1859) 
66967|Nicht ermittelt (? <zita>K. v. A.</zita>)
44570|Meyer, Johann Heinrich|Meyer, Johann #1+Heinrich#1- (1760-1832) 
44617|Müller, Friedrich Theodor Adam Heinrich von|Müller, #1+Friedrich#1- Theodor Adam Heinrich (seit 30. Januar 1807:) von (1779-1849) 
43499|Dorow, Karl Friedrich Ferdinand Wilhelm|Dorow, Karl Friedrich Ferdinand #1+Wilhelm#1- (1790-1845) 
43274|Brühl, Karl Friedrich Moritz Paul Graf von|Brühl, #1+Karl#1- Friedrich Moritz Paul Graf von (1772-1837) 
39035|Lavés, Louis Daniel Marie
45783|Wolzogen, Friederike Sophie Karoline Augusta von|Wolzogen, Friederike Sophie #1+Karoline#1- Augusta von, geb. von Lengefeld, gesch. von Beulwitz (1763-1847) 
41464|Schweitzer, Christian Wilhelm|Schweitzer, Christian Wilhelm (1781-1856) 
38006|Henschel, Gebrüder
42352|Voigt, Friedrich Siegmund|Voigt, Friedrich Siegmund (1781-1850) 
43388|Cramer, Christoph Ludwig Wilhelm|Cramer, Christoph #1+Ludwig#1- #1+Wilhelm#1- (1755-1832) 
44828|Preusker, Karl Benjamin|Preusker, #1+Karl#1- Benjamin (1786-1871) 
38278|Hufeland, Christoph Wilhelm|Hufeland, Christoph Wilhelm (1762-1836) 
39094|Lenz, Johann Georg|Lenz, Johann Georg (1745-1832) 
44455|Luck, Friedrich Ludwig Wilhelm von|Luck, #1+Friedrich#1- Ludwig Wilhelm von (1769-1844) 
44080|Houwald, Christoph Ernst von|Houwald, Christoph #1+Ernst#1- von (1778-1845) 
40034|O'Donell von Tyrconell, Josephine Gräfin|O'Donell von Tyrconell, Josephine Gräfin, geb. Gräfin Gaisruck (1779-1833) 
40507|Ramann, Gebrüder (Unterzeichner: Johann Christoph Habermann)|Ramann, Gebrüder 
|Habermann, Johann Christoph (e. 1820)
40069|Oldendorp, Christian Johann|Oldendorp, Christian Johann (1772-1844) 
44191|Keil, Johann Georg|Keil, Johann #1+Georg#1- (1781-1857) 
44923|Rennenkampff, Karl Jakob Alexander von|Rennenkampff, Karl Jakob #1+Alexander#1- von (1783-1854) 
44826|Preen, August Klaus von|Preen, #1+August#1- Klaus von (1776-1821) 
44950|Rochlitz, Johann Friedrich|Rochlitz, Johann #1+Friedrich#1- (1769-1842) 
46151|Frege & Co.
37491|Gödör, Joseph von|Gödör (G. von Gödörháza), Joseph von (? 1794-1858) 
45239|Schütz, Christian Georg|Schütz (Schüz), Christian Georg (II; genannt der Vetter) (1758-1823) 
44118|Iken, Karl Jakob Ludwig|Iken, #1+Karl#1- Jakob Ludwig (1789-1841) 
36285|Carus, Karl Gustav|Carus, Karl Gustav (1789-1869) 
44071|Hopffgarten, Sophie Karoline von|Hopffgarten (Hopfgarten), Sophie #1+Karoline#1- von, geb. von Fritsch (1770-1837) 
44473|Lyncker, Karl Wilhelm Heinrich von|Lyncker, #1+Karl#1- Wilhelm Heinrich von (1767-1843) 
46093|Egloffstein, Julie Gräfin von und zu|Egloffstein (E. auf Lamgarben und Arklitten), #1+Julie#1- Sophie Gräfin von und zu (1792-1869) 
43780|Goethe, August von|Goethe, Julius #1+August#1- Walter von (eigentl. August Walter), (1801:) legit. von G. (1789-1830) 
46991|Herrmann, August|Herrmann, August (erw. 1817-1820) 
39191|Linz, August
42872|Zeller, Johann Georg|Zeller, Johann Georg (1764-1822) 
44619|Müller, Johann Christian Ernst|Müller, Johann #1+Christian#1- Ernst (1766-1824) 
44324|Krug von Nidda, Friedrich Ludwig Albrecht Franz|Krug von Nidda, #1+Friedrich#1- Ludwig Albrecht (Albert) Franz (1776-1843) 
39044|Lecerf, Justus Amadeus
43289|Büchler, Johann Lambert|Büchler, Johann #1+Lambert#1- (1785-1858) 
40555|Rehbein, Wilhelm|Rehbein, Wilhelm (1776-1825) 
50008|Wenke, Karl Wilhelm
37510|Goes, Karl Georg Friedrich
46902|Beschorner, Anton|Beschorner, Anton (geb. 1783) 
41353|Schubarth, Karl Ernst|Schubarth, Karl Ernst (1796-1861) 
45745|Willemer, Marianne von|Willemer, Maria Anna (#1+Marianne#1-) Katharina Therese (seit 26. September 1816:) von, geb. Jung (richtig: Pirngruber) (1784-1860) 
42695|Willemer, Johann Jakob von|Willemer, Johann Jakob (seit 26. September 1816:) von (1760-1838) 
44589|Mohr, Johanna Maria Elisabeth
38997|Laspe, Christian Gottlob
41072|Schäffer, Jakob Christian Gottlieb von|Schäffer, Jakob Christian Gottlieb (seit 1814:) von (1752-1826) 
40593|Rein, August Gotthilf
50555|Wilbrand, Johann Bernhard|Wilbrand, Johann Bernhard (1779-1846) 
37476|Gmelin, Wilhelm Friedrich|Gmelin, Wilhelm Friedrich (1760-1820) 
44988|Ruckstuhl, Karl Joseph Heinrich|Ruckstuhl, #1+Karl#1- Joseph Heinrich (1788-1831) 
44746|Osann, Friedrich Gotthilf|Osann, #1+Friedrich#1- Gotthilf (1794-1858) 
49319|Oerthel, Heerdegen & Co.|Oerthel, Heerdegen & Co. 
45066|Sartorius, Georg Friedrich Christoph|Sartorius, #1+Georg#1- Friedrich Christoph, (seit 1827:) S. von Waltershausen (1765-1828) 
49782|Sternberg, Kaspar Maria Graf von|Sternberg, #1+Kaspar#1- Maria Graf von (1761-1838) 
41664|Spiegel von und zu Pickelsheim, Karl Emil|Spiegel von und zu Pickelsheim, Karl Emil (1783-1849) 
43370|Conta, Karl Friedrich Anton|Conta, #1+Karl#1- Friedrich Anton (seit 1825:) von (1778-1850) 
43782|Goethe, Ottilie von|Goethe, #1+Ottilie#1- Wilhelmine Ernestine Henriette von, geb. von Pogwisch (1796-1872) 
36076|Brockhaus, Friedrich Arnold|Brockhaus, Friedrich Arnold (David Arnold Friedrich) (1772-1823) 
44856|Raabe, Karl Joseph|Raabe, Karl #1+Joseph#1- (1780-1849) 
39046|Lechner, Johann Leonhard Sixtus|Lechner, Johann Leonhard Sixtus (1768-1823) 
37671|Grüner, Joseph Sebastian|Grüner, Joseph Sebastian (1780-1864) 
43012|Aschendorff, Hermann Jakob Ernst|Hermann ^%^%Aschendorff
44615|Müller, Franz Heinrich|Müller, Franz #1+Heinrich#1- (1793-1866) 
49780|Henschel, August Wilhelm Eduard Theodor|Henschel, #1+August#1- #1+Wilhelm#1- Eduard Theodor (1790-1856) 
50945|Krampitz, Friedrich Wilhelm
45765|Wölfel, Gottlieb Karl Georg
50165|Hagen, Ernst August|Hagen, Ernst #1+August#1- (1797-1880) 
42546|Weimar, Geographisches Institut|Geographisches Institut ^%^%Weimar
22147|Sondershausen, Karl Christian|Sondershausen, #1+Karl#1- Christian (1789-1882) 
37402|Gerning, Johann Isaak von|Gerning, Johann Isaak (seit 1804/05:) von (1767-1837) 
50791|Tomaschek, Wenzel Johann|Tomaschek, Wenzel Johann (Václav Jan Křtitel Tomašek) (1774-1850) 
44762|Pansner, Johann Heinrich Lorenz von|Pansner, Johann Heinrich #1+Lorenz#1- (nach 1802:) von (1777-1851) 
50225|Heyer und Leske
44682|Nicolovius, Georg Heinrich Ludwig|Nicolovius, Georg Heinrich #1+Ludwig#1- (1767-1839) 
51711|Rocca, Rocco
53424|Weigel, Ernst August
46094|Egloffstein, Karoline Gräfin von und zu|Egloffstein (E. auf Lamgarben und Arklitten), #1+Karoline#1- (Line) Henriette Gräfin von und zu (1789-1868) 
47243|Zechbauer, Johann #s+Gottfried#s- (1792-nach 1833)|brf-
43958|Helvig, Anna Amalia von|Helvig, Anna Amalia (#1+Amalie#1-) (seit 1807:) von, geb. von Imhoff (1776-1831) 
49420|Cnopf, Johann Konrad (Handels- und Bankhaus)|Johann Konrad ^%^%Cnopf
39103|Leonhard, Karl Cäsar von|Leonhard, Karl Cäsar (seit März 1814:) von (1779-1862) 
36518|Cuno, Heinrich|Heinrich ^%^%Cuno
45583|Varnhagen von Ense, Karl August|Varnhagen von Ense, #1+Karl#1- #1+August#1- Ludwig Philipp (1785-1858) 
37035|Felix, Gebrüder|Felix, Gebrüder 
47081|Meyer, Johann Gottlieb (Mineralwasserhandlung)
39542|Mellish, Joseph Charles|Mellish (M. auf Blyth), Joseph Charles (1769-1823) 
43991|Hermann, Johann Gottfried Jakob|Hermann, Johann #1+Gottfried#1- Jakob (1772-1848) 
43013|Asschenfeldt, Christoph Karl Julius|Karl Julius ^%^%Asschenfeldt
35901|Bohte, Johann Heinrich|Johann Heinrich ^%^%Bohte
38720|Köhler, Heinrich Karl Ernst von|Köhler (Keler), Heinrich Karl Ernst (Jegor Jegorowitsch Keler) (vor 1820:) von (1765-1838) 
39876|Münchow, Karl Dietrich von|Münchow, Karl Dietrich von (1778-1836) 
35478|Barth, Johann Ambrosius (Verlagsbuchhandlung)|Johann Ambrosius ^%^%Barth
41393|Schultz, Christoph Ludwig Friedrich|Schultz, Christoph Ludwig Friedrich (1781-1834) 
43947|Heidler, Karl Joseph|Heidler, #1+Karl#1- Joseph, (seit 1858:) H. von Heilborn (1792-1866) 
45215|Schopenhauer, Adele|Schopenhauer, Luise Adelaide (#1+Adele#1-) Lavinia (1797-1849) 
46589|Rengersche Buchhandlung
40613|Reinhard, Sophie Karoline Friederike Petronella
44069|Hopffgarten, Karoline Rosine Gräfin von
45264|Schwabe, Johann Friedrich Heinrich
35931|Boosey & Sons|^%^%Boosey & Sons
43213|Bran, Friedrich Alexander|Bran, Friedrich #1+Alexander#1- (bis 1811: Abraham Baruch) (1767-1831) 
39649|Meyer, Randolph
45722|Wetterstrand, Bernhard Gottlieb
52105|Laudenbach, Johann Friedrich Ludwig
44537|Melber, Johanna Maria|Melber, #1+Johanna#1- Maria, geb. Textor (1734-1823) 
50746|Prokesch, Anton Franz
45031|Sachsen-Gotha und Altenburg, August Herzog von|Sachsen-Gotha und Altenburg, Emil Leopold #1+August#1- Herzog von (auch: Dalbergsohn) (1772-1822) 
36555|Dannecker, Johann Heinrich von|Dannecker, Johann Heinrich (seit 1808:) von (1758-1841) 
44235|Kloß, Johann #s+Georg#s- Burkhard Franz (1787-1854)
44674|Neuburg, Johann #s+Georg#s- (1795-1866)
43491|Döring, Johann Michael Heinrich|Döring, Johann Michael #1+Heinrich#1- (1789-1862) 
43598|Färber, Dorothea Johanne Marie|Dorothea ^%^%Färber
43824|Gries, Johann Diederich|Gries, Johann #1+Diederich#1- (1775-1842) 
43913|? Hand, Ferdinand Gotthelf|Hand, #1+Ferdinand#1- Gotthelf (1786-1851) 
63646|Jena, Sozietät für die gesamte Mineralogie (Unterzeichner: Johann Friedrich Heinrich Schwabe)|Jena, Sozietät für die gesamte Mineralogie 
38404|Jena, Universität
44241|Knebel, Karl Bernhard Maximilian von
44533|Mejer, Johann Wilhelm|Mejer (Meier), Johann #1+Wilhelm#1- (1789-1871) 
66968|Nicht ermittelt
66969|Nicht ermittelt
40714|Riemer, Friedrich Wilhelm|Riemer, Friedrich Wilhelm (Ps. Silvio Romano) (1774-1845) 
41919|Sylvestre, Espérance|Sylvestre, Espérance (1790-1842) 
44368|Lehne, Johann Friedrich Franz|Lehne, Johann #1+Friedrich#1- Franz (1771-1836) 
51645|Vollrath, Karl
61890|Edinburgh, Wernerian Natural History Society (Unterzeichner: Robert Jameson)|Edinburgh, Wernerian Natural History Society 
50790|Jameson, Robert|brf-
49485|Raupach, Karl Eduard
44793|Peucer, Heinrich Karl Friedrich|Peucer, Heinrich Karl #1+Friedrich#1- (Ps. Eduard Ost) (1779-1849) 
51032|Seyffarth, Johann Wilhelm|Seyffarth, Johann Wilhelm (1772/73-1842) 
